snapshot_date,rank,rank_score,title,heat_w,primary_tag_l1,secondary_tags_l2,source_url,completeness,sample_source
2025-04-08,1,3.0,请君入我怀,6748.0,古风/古代,,https://www.10100.com/article/1253962,partial,top3
2025-04-08,2,2.0,无上魔尊,,奇幻/系统,,https://www.10100.com/article/1253962,partial,top3
2025-04-11,1,3.0,请君入我怀,4638.0,古风/古代,,https://www.10100.com/article/1253946,full_top3,top3
2025-04-11,2,2.0,出狱当天，世间无我,4300.0,其他,,https://www.10100.com/article/1253946,full_top3,top3
2025-04-11,3,1.0,全家靠我心声逆天改命,,奇幻/系统,,https://www.10100.com/article/1253946,full_top3,top3
2025-04-25,1,3.0,心动还请告诉我,5009.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_30721185,full_top3,top3
2025-04-25,2,2.0,别有用心的妻子,4690.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_30721185,full_top3,top3
2025-04-25,3,1.0,纵横商海之屠龙少年,,逆袭/爽文,,https://m.thepaper.cn/newsDetail_forward_30721185,full_top3,top3
2025-04-27,1,3.0,别有用心的妻子,5368.0,现代情感,,https://www.10100.com/article/1254290,partial,top3
2025-04-28,1,3.0,别有用心的妻子,5659.0,现代情感,,https://www.thepaper.cn/newsDetail_forward_30736578,full_top3,top3
2025-04-28,2,2.0,纵横商海之屠龙少年,4634.0,逆袭/爽文,,https://www.thepaper.cn/newsDetail_forward_30736578,full_top3,top3
2025-04-28,3,1.0,心动还请告诉我,,现代情感,,https://www.thepaper.cn/newsDetail_forward_30736578,full_top3,top3
2025-05-06,1,3.0,栀栀复栀栀,8694.0,现代情感,,https://www.10100.com/article/1253912,full_top3,top3
2025-05-06,2,2.0,穿书之炮灰变身天道亲闺女,8615.0,穿越/重生,穿书,https://www.10100.com/article/1253912,full_top3,top3
2025-05-06,3,1.0,云渺2：我修仙多年强亿点怎么了,,奇幻/系统,修仙升级,https://www.10100.com/article/1253912,full_top3,top3
2025-05-07,1,3.0,栀栀复栀栀,8450.0,现代情感,,https://www.10100.com/article/1253906,full_top3,top3
2025-05-07,2,2.0,云渺2：我修仙多年强亿点怎么了,8060.0,奇幻/系统,修仙升级,https://www.10100.com/article/1253906,full_top3,top3
2025-05-07,3,1.0,郡主十岁，我把纨绔爹养成皇帝啦！,,古风/古代,,https://www.10100.com/article/1253906,full_top3,top3
2025-05-07,99,0.5,娇莺,,其他,,https://www.10100.com/article/1253906,full_top3,notes
2025-05-23,1,3.0,月光锈,7876.0,现代情感,,https://www.10100.com/article/1253854,full_top3,top3
2025-05-23,2,2.0,少帅你老婆又跑了,7272.0,古风/古代,,https://www.10100.com/article/1253854,full_top3,top3
2025-05-23,3,1.0,我是你们太奶奶，孝子贤孙都跪下,,家庭/亲情,,https://www.10100.com/article/1253854,full_top3,top3
2025-05-29,1,3.0,全家听我心声觉醒了，我躺赢,7396.0,逆袭/爽文,,https://www.10100.com/article/1255314,full_top3,top3
2025-05-29,2,2.0,选个纨绔当爹，养成皇帝就好了,7346.0,家庭/亲情,,https://www.10100.com/article/1255314,full_top3,top3
2025-05-29,3,1.0,弃娘不自弃,,其他,,https://www.10100.com/article/1255314,full_top3,top3
