snapshot_date,primary_tag_l1,title_count,rank_score_sum,heat_w_sum,rank_share,heat_share
2025-04-08,古风/古代,1,3,6748.0,0.6,1.0
2025-04-08,奇幻/系统,1,2,0.0,0.4,0.0
2025-04-11,其他,1,2,4300.0,0.3333333333333333,0.48109196688297157
2025-04-11,古风/古代,1,3,4638.0,0.5,0.5189080331170284
2025-04-11,奇幻/系统,1,1,0.0,0.16666666666666666,0.0
2025-04-25,现代情感,2,5,9699.0,0.8333333333333334,1.0
2025-04-25,逆袭/爽文,1,1,0.0,0.16666666666666666,0.0
2025-04-27,现代情感,1,3,5368.0,1.0,1.0
2025-04-28,现代情感,2,4,5659.0,0.6666666666666666,0.5497911201787623
2025-04-28,逆袭/爽文,1,2,4634.0,0.3333333333333333,0.45020887982123775
2025-05-06,奇幻/系统,1,1,0.0,0.16666666666666666,0.0
2025-05-06,现代情感,1,3,8694.0,0.5,0.5022820498006817
2025-05-06,穿越/重生,1,2,8615.0,0.3333333333333333,0.49771795019931825
2025-05-07,古风/古代,1,1,0.0,0.16666666666666666,0.0
2025-05-07,奇幻/系统,1,2,8060.0,0.3333333333333333,0.4881889763779528
2025-05-07,现代情感,1,3,8450.0,0.5,0.5118110236220472
2025-05-23,古风/古代,1,2,7272.0,0.3333333333333333,0.4800633747029311
2025-05-23,家庭/亲情,1,1,0.0,0.16666666666666666,0.0
2025-05-23,现代情感,1,3,7876.0,0.5,0.519936625297069
2025-05-29,其他,1,1,0.0,0.16666666666666666,0.0
2025-05-29,家庭/亲情,1,2,7346.0,0.3333333333333333,0.49830416497083163
2025-05-29,逆袭/爽文,1,3,7396.0,0.5,0.5016958350291684
2025-06-13,其他,1,1,7459.0,0.25,0.46464835233289725
2025-06-13,家庭/亲情,1,3,8594.0,0.75,0.5353516476671027
2025-06-17,家庭/亲情,1,3,8111.0,0.5,0.3860175138016372
2025-06-17,现代情感,1,1,6235.0,0.16666666666666666,0.2967351989339425
2025-06-17,穿越/重生,1,2,6666.0,0.3333333333333333,0.3172472872644203
2025-07-17,古风/古代,1,1,6975.0,0.16666666666666666,0.3296469587409613
2025-07-17,家庭/亲情,1,2,7078.0,0.3333333333333333,0.3345148636514013
2025-07-17,现代情感,1,3,7106.0,0.5,0.3358381776076374
2025-07-18,古风/古代,1,1,6859.0,0.16666666666666666,0.3281190202831994
2025-07-18,家庭/亲情,1,3,7062.0,0.5,0.3378300803673938
2025-07-18,现代情感,1,2,6983.0,0.3333333333333333,0.3340508993494068
2025-07-30,古风/古代,1,2,7356.0,0.3333333333333333,0.40074090215733277
2025-07-30,家庭/亲情,1,3,11000.0,0.5,0.5992590978426673
2025-07-30,现代情感,1,1,0.0,0.16666666666666666,0.0
2025-08-29,其他,1,1,0.0,0.16666666666666666,0.0
2025-08-29,古风/古代,1,2,7303.0,0.3333333333333333,0.44544068313510216
2025-08-29,豪门/总裁,1,3,9092.0,0.5,0.5545593168648978
2025-09-16,古风/古代,1,1,7123.0,0.16666666666666666,0.3060233717133528
2025-09-16,现代情感,1,2,7228.0,0.3333333333333333,0.31053445609211205
2025-09-16,豪门/总裁,1,3,8925.0,0.5,0.38344217219453514
2025-10-23,家庭/亲情,1,1,6750.0,0.16666666666666666,0.32369443245576174
2025-10-23,现代情感,1,3,7256.0,0.5,0.34795952620726034
2025-10-23,穿越/重生,1,2,6847.0,0.3333333333333333,0.32834604133697787
2025-10-29,家庭/亲情,1,3,15000.0,0.5,0.47921791636049965
2025-10-29,现代情感,2,3,16301.0,0.5,0.5207820836395003
2025-10-31,现代情感,1,3,6373.1,1.0,1.0
2025-11-30,家庭/亲情,1,3,6168.3,0.5,1.0
2025-11-30,现代情感,1,2,0.0,0.3333333333333333,0.0
2025-11-30,豪门/总裁,1,1,0.0,0.16666666666666666,0.0
2025-12-06,其他,1,3,12000.0,0.5,0.43888523151195963
2025-12-06,古风/古代,1,2,8729.0,0.3333333333333333,0.31925243215565796
2025-12-06,奇幻/系统,1,1,6613.0,0.16666666666666666,0.2418623363323824
2026-01-25,其他,2,5,13749.0,0.8333333333333334,0.6838937524870673
2026-01-25,豪门/总裁,1,1,6355.0,0.16666666666666666,0.31610624751293276
2026-01-31,其他,2,5,15420.0,0.8333333333333334,1.0
2026-01-31,现代情感,1,1,0.0,0.16666666666666666,0.0
2026-02-21,其他,1,1,9098.0,0.16666666666666666,0.2803093323474135
2026-02-21,家庭/亲情,2,5,23359.0,0.8333333333333334,0.7196906676525865
2026-03-30,家庭/亲情,1,3,10000.0,1.0,1.0
2026-04-09,其他,1,2,7385.0,0.3333333333333333,0.329055830325714
2026-04-09,现代情感,2,4,15058.0,0.6666666666666666,0.6709441696742859
2026-05-23,其他,1,2,7542.0,0.4,0.47946598855689765
2026-05-23,现代情感,1,3,8188.0,0.6,0.5205340114431024
